,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
86,8,2016,24,53.97,0,27,9,12,.750,2,3,.667,2,2,1.000,0,0,0,2,3,0,3,0,22,18.6,-6
87,9,2016,24,83.75,0,21,3,7,.429,1,3,.333,0,0,,0,3,3,5,1,0,3,2,7,4.9,+6
88,10,2016,24,39.71,0,25,8,12,.667,4,6,.667,3,3,1.000,0,3,3,1,1,0,3,0,23,17.4,+16
89,11,2016,24,89.66,0,22,6,10,.600,0,0,,2,2,1.000,0,3,3,1,1,0,0,2,14,11.2,-11
90,12,2016,24,74.88,0,27,4,12,.333,1,5,.200,4,6,.667,2,1,3,3,5,0,2,4,13,10.6,+4
91,13,2016,24,0.01,0,31,7,15,.467,3,4,.750,3,4,.750,1,2,3,3,2,0,3,2,20,13.5,+6
92,14,2016,24,36.65,0,25,1,12,.083,1,3,.333,2,3,.667,1,1,2,3,0,0,0,0,5,-0.3,-13
93,15,2016,24,41.4,0,26,7,14,.500,0,4,.000,4,4,1.000,0,3,3,4,4,0,1,1,18,17.3,+6
94,16,2016,24,3.39,0,29,7,16,.438,0,2,.000,2,3,.667,1,2,3,2,1,0,1,2,16,9.1,-20
95,17,2016,24,3.39,1,38,6,16,.375,4,9,.444,4,5,.800,0,2,2,0,5,0,3,1,20,13.0,-28
96,18,2016,24,24.19,0,32,7,17,.412,1,4,.250,3,4,.750,1,3,4,5,2,0,0,0,18,15.6,+22
97,19,2016,24,39.71,0,29,4,14,.286,1,7,.143,0,0,,0,3,3,2,1,0,2,1,9,1.7,-9
98,20,2016,24,36.65,0,34,9,18,.500,0,1,.000,0,0,,0,4,4,3,1,0,3,2,18,9.5,+13
99,21,2016,24,46.79,0,30,4,15,.267,3,9,.333,3,3,1.000,1,0,1,1,2,0,1,2,14,6.7,-18
100,22,2016,24,38.45,0,27,4,16,.250,0,2,.000,0,0,,3,1,4,2,0,0,2,3,8,-1.0,-5
101,23,2016,24,20.5,0,38,7,13,.538,1,2,.500,2,2,1.000,1,4,5,0,0,0,3,1,17,9.2,+12
102,24,2016,24,60.31,1,35,3,13,.231,1,5,.200,0,0,,0,2,2,2,0,0,1,0,7,0.1,-26
103,25,2016,24,90.19,1,33,6,17,.353,0,5,.000,2,3,.667,1,1,2,3,0,0,4,4,14,1.6,-17
104,26,2016,24,85.54,0,32,6,10,.600,0,1,.000,2,3,.667,2,2,4,4,0,0,0,1,14,13.4,+1
105,27,2016,24,83.75,0,21,4,11,.364,1,2,.500,6,6,1.000,1,1,2,4,1,0,1,2,15,11.9,-13
106,28,2016,24,74.88,0,18,6,12,.500,0,2,.000,0,0,,1,3,4,1,1,0,3,2,12,5.5,-6
107,29,2016,24,58.72,0,25,4,9,.444,2,4,.500,0,0,,0,3,3,2,0,0,2,1,10,5.2,-9
108,30,2016,24,71.18,0,30,7,12,.583,4,7,.571,2,2,1.000,2,3,5,1,0,0,2,3,20,14.2,-10
109,31,2016,24,53.44,0,30,9,13,.692,7,9,.778,0,0,,0,3,3,5,1,1,1,2,25,23.8,+6
110,32,2016,24,35.91,0,25,2,10,.200,0,3,.000,0,0,,0,2,2,3,2,0,1,0,4,1.5,-9
111,33,2016,24,72.45,0,27,7,14,.500,4,8,.500,0,0,,1,4,5,2,0,0,5,1,18,8.9,-19
112,34,2016,24,48.9,0,20,2,9,.222,0,4,.000,1,2,.500,1,0,1,0,1,0,1,2,5,-1.0,-9
